Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/clear-trigger.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/clear-trigger.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/date-trigger.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/date-trigger.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/error-tip-corners.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/error-tip-corners.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/exclamation.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/exclamation.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/search-trigger.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/search-trigger.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/text-bg.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/text-bg.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/trigger-tpl.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/trigger-tpl.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/form/trigger.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/form/trigger.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/gradient-bg.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/gradient-bg.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/arrow-left-white.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/arrow-left-white.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/arrow-right-white.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/arrow-right-white.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/col-move-bottom.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/col-move-bottom.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/col-move-top.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/col-move-top.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/columns.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/columns.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/dirty.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/dirty.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/done.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/done.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/drop-no.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/drop-no.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/drop-yes.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/drop-yes.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/footer-bg.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/footer-bg.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-blue-hd.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-blue-hd.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-blue-split.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-blue-split.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-hrow.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-hrow.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-loading.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-loading.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-split.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-split.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid-vista-hd.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid-vista-hd.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid3-hd-btn.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid3-hd-btn.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid3-hrow-over.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid3-hrow-over.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid3-hrow.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid3-hrow.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid3-special-col-bg.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid3-special-col-bg.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/grid3-special-col-sel-bg.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/grid3-special-col-sel-bg.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/group-by.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/group-by.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/group-expand-sprite.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/group-expand-sprite.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/hd-pop.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/hd-pop.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/hmenu-asc.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/hmenu-asc.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/grid/hmenu-desc.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid/hmenu-desc.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/grid
